date,symbol,mid,spread_bps,volume
2020-01-29,MSFT,157.25,6,9400
2020-01-30,AAPL,312.0,5,9600
2020-01-30,MSFT,157.5,6,9800
2020-01-31,AAPL,312.4,5,8000
2020-01-31,MSFT,157.75,6,8200
2020-02-01,AAPL,312.8,5,8400
2020-02-01,MSFT,158.0,6,8600
2020-02-02,AAPL,312.2,5,8800
2020-02-02,MSFT,158.25,6,9000
2020-02-03,AAPL,313.6,5,9200
2020-02-03,MSFT,158.5,6,9400
2020-02-04,AAPL,315.0,5,9600
2020-02-04,MSFT,158.75,6,9800
2020-02-05,AAPL,314.4,5,8000
2020-02-05,MSFT,160.0,6,8200
2020-02-06,AAPL,314.8,5,8400
2020-02-06,MSFT,159.25,6,8600
2020-02-07,AAPL,315.2,5,8800
2020-02-07,MSFT,159.5,6,9000
2020-02-08,AAPL,315.6,5,9200
2020-02-08,MSFT,158.75,6,9400
2020-02-09,AAPL,316.0,5,9600
2020-02-09,MSFT,160.0,6,9800
2020-02-10,AAPL,316.4,5,8000
2020-02-10,MSFT,160.25,6,8200
2020-02-11,AAPL,317.8,5,8400
2020-02-11,MSFT,160.5,6,8600
2020-02-12,AAPL,317.2,5,8800
2020-02-12,MSFT,160.75,6,9000
2020-02-13,AAPL,316.6,5,9200
2020-02-13,MSFT,161.0,6,9400
2020-02-14,AAPL,318.0,5,9600
2020-02-14,MSFT,162.25,6,9800
2020-02-15,AAPL,318.4,5,8000
2020-02-15,MSFT,161.5,6,8200
2020-02-16,AAPL,318.8,5,8400
2020-02-16,MSFT,161.75,6,8600
2020-02-17,AAPL,319.2,5,8800
2020-02-17,MSFT,162.0,6,9000
2020-02-18,AAPL,320.6,5,9200
2020-02-18,MSFT,162.25,6,9400
2020-02-19,AAPL,320.0,5,9600
2020-02-19,MSFT,162.5,6,9800
2020-02-20,AAPL,320.4,5,8000
2020-02-20,MSFT,162.75,6,8200
2020-02-21,AAPL,320.8,5,8400
2020-02-21,MSFT,162.0,6,8600
2020-02-22,AAPL,321.2,5,8800
2020-02-22,MSFT,163.25,6,9000
2020-02-23,AAPL,321.6,5,9200
2020-02-23,MSFT,164.5,6,9400
2020-02-24,AAPL,321.0,5,9600
2020-02-24,MSFT,163.75,6,9800
2020-02-25,AAPL,323.4,5,8000
2020-02-25,MSFT,164.0,6,8200
2020-02-26,AAPL,322.8,5,8400
2020-02-26,MSFT,164.25,6,8600
2020-02-27,AAPL,323.2,5,8800
2020-02-27,MSFT,164.5,6,9000
2020-02-28,AAPL,323.6,5,9200
2020-02-28,MSFT,164.75,6,9400
2020-02-29,AAPL,324.0,5,9600
2020-02-29,MSFT,165.0,6,9800
2020-03-01,AAPL,324.4,5,8000
2020-03-01,MSFT,165.25,6,8200
2020-03-02,AAPL,324.8,5,8400
2020-03-02,MSFT,165.5,6,8600
2020-03-03,AAPL,326.2,5,8800
2020-03-03,MSFT,166.75,6,9000
2020-03-04,AAPL,325.6,5,9200
2020-03-04,MSFT,166.0,6,9400
2020-03-05,AAPL,326.0,5,9600
2020-03-05,MSFT,165.25,6,9800
2020-03-06,AAPL,325.4,5,8000
2020-03-06,MSFT,166.5,6,8200
2020-03-07,AAPL,326.8,5,8400
2020-03-07,MSFT,166.75,6,8600
2020-03-08,AAPL,327.2,5,8800
2020-03-08,MSFT,167.0,6,9000
2020-03-09,AAPL,327.6,5,9200
2020-03-09,MSFT,167.25,6,9400
2020-03-10,AAPL,329.0,5,9600
2020-03-10,MSFT,167.5,6,9800
2020-03-11,AAPL,328.4,5,8000
2020-03-11,MSFT,167.75,6,8200
2020-03-12,AAPL,328.8,5,8400
2020-03-12,MSFT,169.0,6,8600
2020-03-13,AAPL,329.2,5,8800
2020-03-13,MSFT,168.25,6,9000
2020-03-14,AAPL,329.6,5,9200
2020-03-14,MSFT,168.5,6,9400
2020-03-15,AAPL,330.0,5,9600
2020-03-15,MSFT,168.75,6,9800
2020-03-16,AAPL,330.4,5,8000
2020-03-16,MSFT,169.0,6,8200
2020-03-17,AAPL,330.8,5,8400
2020-03-17,MSFT,169.25,6,8600
2020-03-18,AAPL,331.2,5,8800
2020-03-18,MSFT,168.5,6,9000
2020-03-19,AAPL,331.6,5,9200
2020-03-19,MSFT,169.75,6,9400
2020-03-20,AAPL,332.0,5,9600
2020-03-20,MSFT,170.0,6,9800
2020-03-21,AAPL,332.4,5,8000
2020-03-21,MSFT,171.25,6,8200
2020-03-22,AAPL,332.8,5,8400
2020-03-22,MSFT,170.5,6,8600
2020-03-23,AAPL,333.2,5,8800
2020-03-23,MSFT,170.75,6,9000
2020-03-24,AAPL,334.6,5,9200
2020-03-24,MSFT,171.0,6,9400
2020-03-25,AAPL,334.0,5,9600
2020-03-25,MSFT,171.25,6,9800
2020-03-26,AAPL,334.4,5,8000
2020-03-26,MSFT,171.5,6,8200
2020-03-27,AAPL,334.8,5,8400
2020-03-27,MSFT,171.75,6,8600
2020-03-28,AAPL,334.2,5,8800
2020-03-28,MSFT,172.0,6,9000
2020-03-29,AAPL,335.6,5,9200
2020-03-29,MSFT,172.25,6,9400
2020-03-30,AAPL,336.0,5,9600
2020-03-30,MSFT,173.5,6,9800
2020-03-31,AAPL,337.4,5,8000
2020-03-31,MSFT,171.75,6,8200
2020-04-01,AAPL,336.8,5,8400
2020-04-01,MSFT,173.0,6,8600
2020-04-02,AAPL,337.2,5,8800
2020-04-02,MSFT,173.25,6,9000
2020-04-03,AAPL,337.6,5,9200
2020-04-03,MSFT,173.5,6,9400
2020-04-04,AAPL,338.0,5,9600
2020-04-04,MSFT,173.75,6,9800
2020-04-05,AAPL,338.4,5,8000
2020-04-05,MSFT,174.0,6,8200
2020-04-06,AAPL,338.8,5,8400
2020-04-06,MSFT,174.25,6,8600
2020-04-07,AAPL,340.2,5,8800
2020-04-07,MSFT,174.5,6,9000
2020-04-08,AAPL,338.6,5,9200
2020-04-08,MSFT,175.75,6,9400
2020-04-09,AAPL,340.0,5,9600
2020-04-09,MSFT,175.0,6,9800
2020-04-10,AAPL,340.4,5,8000
2020-04-10,MSFT,175.25,6,8200
2020-04-11,AAPL,340.8,5,8400
2020-04-11,MSFT,175.5,6,8600
2020-04-12,AAPL,341.2,5,8800
2020-04-12,MSFT,175.75,6,9000
2020-04-13,AAPL,341.6,5,9200
2020-04-13,MSFT,175.0,6,9400
2020-04-14,AAPL,343.0,5,9600
2020-04-14,MSFT,176.25,6,9800
2020-04-15,AAPL,342.4,5,8000
2020-04-15,MSFT,176.5,6,8200
2020-04-16,AAPL,342.8,5,8400
2020-04-16,MSFT,176.75,6,8600
2020-04-17,AAPL,343.2,5,8800
2020-04-17,MSFT,178.0,6,9000
2020-04-18,AAPL,343.6,5,9200
2020-04-18,MSFT,177.25,6,9400
2020-04-19,AAPL,343.0,5,9600
2020-04-19,MSFT,177.5,6,9800
2020-04-20,AAPL,344.4,5,8000
2020-04-20,MSFT,177.75,6,8200
2020-04-21,AAPL,345.8,5,8400
2020-04-21,MSFT,178.0,6,8600
2020-04-22,AAPL,345.2,5,8800
2020-04-22,MSFT,178.25,6,9000
2020-04-23,AAPL,345.6,5,9200
2020-04-23,MSFT,178.5,6,9400
2020-04-24,AAPL,346.0,5,9600
2020-04-24,MSFT,178.75,6,9800
2020-04-25,AAPL,346.4,5,8000
2020-04-25,MSFT,179.0,6,8200
2020-04-26,AAPL,346.8,5,8400
2020-04-26,MSFT,179.25,6,8600
2020-04-27,AAPL,347.2,5,8800
2020-04-27,MSFT,179.5,6,9000
2020-04-28,AAPL,348.6,5,9200
2020-04-28,MSFT,179.75,6,9400
2020-04-29,AAPL,348.0,5,9600
2020-04-29,MSFT,180.0,6,9800
